,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_None,Cabin_T,Embarked_C,Embarked_Missing,Embarked_Q,Embarked_S
41,2,27.0,1,0,21.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
547,2,29.69911764705882,0,0,13.8625,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
108,3,38.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
603,3,44.0,0,0,8.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
56,2,21.0,0,0,10.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
394,3,24.0,0,2,16.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
706,2,45.0,0,0,13.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
549,2,8.0,1,1,36.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
24,3,8.0,3,1,21.075,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
351,1,29.69911764705882,0,0,35.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
429,3,32.0,0,0,8.05,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
434,1,50.0,1,0,55.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
51,3,21.0,0,0,7.8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
526,2,50.0,0,0,10.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
816,3,23.0,0,0,7.925,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
569,3,32.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
264,3,29.69911764705882,0,0,7.75,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
436,3,21.0,2,2,34.375,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
613,3,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
693,3,25.0,0,0,7.225,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
352,3,15.0,1,1,7.2292,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
18,3,31.0,1,0,18.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
666,2,25.0,0,0,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
582,2,54.0,0,0,26.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
83,1,28.0,0,0,47.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
61,1,38.0,0,0,80.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
272,2,41.0,0,1,19.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
285,3,33.0,0,0,8.6625,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
695,2,52.0,0,0,13.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
746,3,16.0,1,1,20.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
12,3,20.0,0,0,8.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
182,3,9.0,4,2,31.3875,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
444,3,29.69911764705882,0,0,8.1125,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
552,3,29.69911764705882,0,0,7.8292,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
223,3,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
513,1,54.0,1,0,59.4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
628,3,26.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
587,1,60.0,1,1,79.2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
692,3,29.69911764705882,0,0,56.4958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
523,1,44.0,0,1,57.9792,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
664,3,20.0,1,0,7.925,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
176,3,29.69911764705882,3,1,25.4667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
841,2,16.0,0,0,10.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
678,3,43.0,1,6,46.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
163,3,17.0,0,0,8.6625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
248,1,37.0,1,1,52.5542,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
570,2,62.0,0,0,10.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
787,3,8.0,4,1,29.125,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
74,3,32.0,0,0,56.4958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
113,3,20.0,1,0,9.825,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
635,2,28.0,0,0,13.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
501,3,21.0,0,0,7.75,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
104,3,37.0,2,0,7.925,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
114,3,17.0,0,0,14.4583,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
368,3,29.69911764705882,0,0,7.75,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
92,1,46.0,1,0,61.175,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
497,3,29.69911764705882,0,0,15.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
89,3,24.0,0,0,8.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
336,1,29.0,1,0,66.6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
879,1,56.0,0,1,83.1583,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
817,2,31.0,1,1,37.0042,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
828,3,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
543,2,32.0,1,0,26.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
548,3,33.0,1,1,20.525,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
94,3,59.0,0,0,7.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
11,1,58.0,0,0,26.55,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
431,3,29.69911764705882,1,0,16.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
43,2,3.0,1,2,41.5792,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,3,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
329,1,16.0,0,1,57.9792,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
167,3,45.0,1,4,27.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
779,1,43.0,0,1,211.3375,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
537,1,30.0,0,0,106.425,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
735,3,28.5,0,0,16.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
499,3,24.0,0,0,7.7958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
178,2,30.0,0,0,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
583,1,36.0,0,0,40.125,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
784,3,25.0,0,0,7.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
593,3,29.69911764705882,0,2,7.75,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
177,1,50.0,0,0,28.7125,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
644,3,0.75,2,1,19.2583,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
710,1,24.0,0,0,49.5042,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
615,2,24.0,1,2,65.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
383,1,35.0,1,0,52.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
257,1,30.0,0,0,86.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
734,2,23.0,0,0,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
335,3,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
551,2,27.0,0,0,26.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
15,2,55.0,0,0,16.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,1,35.0,1,0,53.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
411,3,29.69911764705882,0,0,6.8583,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
256,1,29.69911764705882,0,0,79.2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
451,3,29.69911764705882,1,0,19.9667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
473,2,23.0,0,0,13.7917,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
697,3,29.69911764705882,0,0,7.7333,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
393,1,23.0,1,0,113.275,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
222,3,51.0,0,0,8.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
506,2,33.0,0,2,26.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
567,3,29.0,0,4,21.075,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
420,3,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
324,3,29.69911764705882,8,2,69.55,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
530,2,2.0,1,1,26.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9,2,14.0,1,0,30.0708,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
249,2,54.0,1,0,26.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
22,3,15.0,0,0,8.0292,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
356,1,22.0,0,1,55.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
221,2,27.0,0,0,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
601,3,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
766,1,29.69911764705882,0,0,39.6,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
874,2,28.0,1,0,24.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
528,3,39.0,0,0,7.925,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
340,2,2.0,1,1,26.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
743,3,24.0,1,0,16.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
519,3,32.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
203,3,45.5,0,0,7.225,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
237,2,8.0,0,2,26.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
93,3,26.0,1,2,20.575,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
730,1,29.0,0,0,211.3375,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
440,2,45.0,1,1,26.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
559,3,36.0,1,0,17.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
284,1,29.69911764705882,0,0,26.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
184,3,4.0,0,2,22.025,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
791,2,16.0,0,0,26.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
487,1,58.0,0,0,29.7,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
153,3,40.5,0,2,14.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
75,3,25.0,0,0,7.65,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
656,3,29.69911764705882,0,0,7.8958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
631,3,51.0,0,0,7.0542,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
277,2,29.69911764705882,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
68,3,17.0,4,2,7.925,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
825,3,29.69911764705882,0,0,6.95,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
188,3,40.0,1,1,15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
271,3,25.0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
662,1,47.0,0,0,25.5875,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
711,1,29.69911764705882,0,0,26.55,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
236,2,44.0,1,0,26.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
88,1,23.0,3,2,263.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
757,2,18.0,0,0,11.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
117,2,29.0,1,0,21.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
125,3,12.0,1,0,11.2417,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
731,3,11.0,0,0,18.7875,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
289,3,22.0,0,0,7.75,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
238,2,19.0,0,0,10.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,3,22.0,1,0,7.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
881,3,33.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
467,1,56.0,0,0,26.55,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
827,2,1.0,0,2,37.0042,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
395,3,22.0,0,0,7.7958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
531,3,29.69911764705882,0,0,7.2292,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
126,3,29.69911764705882,0,0,7.75,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
278,3,7.0,4,1,29.125,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
691,3,4.0,0,1,13.4167,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
116,3,70.5,0,0,7.75,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
228,2,18.0,0,0,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
622,3,20.0,1,1,15.7417,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
655,2,24.0,2,0,73.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
598,3,29.69911764705882,0,0,7.225,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
516,2,34.0,0,0,10.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
274,3,29.69911764705882,0,0,7.75,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
318,1,31.0,0,2,164.8667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
606,3,30.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
144,2,18.0,0,0,11.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
634,3,9.0,3,2,27.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
558,1,39.0,1,1,79.65,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
809,1,33.0,1,0,53.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
745,1,70.0,1,1,71.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
369,1,24.0,0,0,69.3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
268,1,58.0,0,1,153.4625,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
623,3,21.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
307,1,17.0,1,0,108.9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
423,3,28.0,1,1,14.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
310,1,24.0,0,0,83.1583,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
354,3,29.69911764705882,0,0,7.225,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
46,3,29.69911764705882,1,0,15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
349,3,42.0,0,0,8.6625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
371,3,18.0,1,0,6.4958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
479,3,2.0,0,1,12.2875,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
576,2,34.0,0,0,13.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
261,3,3.0,4,2,31.3875,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
195,1,58.0,0,0,146.5208,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
890,3,32.0,0,0,7.75,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
744,3,31.0,0,0,7.925,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
107,3,29.69911764705882,0,0,7.775,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
866,2,27.0,1,0,13.8583,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
59,3,11.0,5,2,46.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
658,2,23.0,0,0,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
263,1,40.0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
568,3,29.69911764705882,0,0,7.2292,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
100,3,28.0,0,0,7.8958,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
443,2,28.0,0,0,13.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
490,3,29.69911764705882,1,0,19.9667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
687,3,19.0,0,0,10.1708,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
799,3,30.0,1,1,24.15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
640,3,20.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
169,3,28.0,0,0,56.4958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
179,3,36.0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
304,3,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
341,1,24.0,3,2,263.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
57,3,28.5,0,0,7.2292,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
858,3,24.0,0,3,19.2583,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
149,2,42.0,0,0,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
124,1,54.0,0,1,77.2875,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
703,3,25.0,0,0,7.7417,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
50,3,7.0,4,1,39.6875,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
353,3,25.0,1,0,17.8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
823,3,27.0,0,1,12.475,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
142,3,24.0,1,0,15.85,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
470,3,29.69911764705882,0,0,7.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
399,2,28.0,0,0,12.65,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
575,3,19.0,0,0,14.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
320,3,22.0,0,0,7.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
19,3,29.69911764705882,0,0,7.225,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
792,3,29.69911764705882,8,2,69.55,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
707,1,42.0,0,0,26.2875,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
723,2,50.0,0,0,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
407,2,3.0,1,1,18.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
557,1,29.69911764705882,0,0,227.525,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
38,3,18.0,2,0,18.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
175,3,18.0,1,1,7.8542,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
245,1,44.0,2,0,90.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
740,1,29.69911764705882,0,0,30.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
602,1,29.69911764705882,0,0,42.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
768,3,29.69911764705882,1,0,24.15,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
764,3,16.0,0,0,7.775,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
154,3,29.69911764705882,0,0,7.3125,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
287,3,22.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
750,2,4.0,1,1,23.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
17,2,29.69911764705882,0,0,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
127,3,24.0,0,0,7.1417,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
322,2,30.0,0,0,12.35,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
255,3,29.0,0,2,15.2458,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
770,3,24.0,0,0,9.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
856,1,45.0,1,1,164.8667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
190,2,32.0,0,0,13.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
115,3,21.0,0,0,7.925,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
737,1,35.0,0,0,512.3292,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
180,3,29.69911764705882,8,2,69.55,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
301,3,29.69911764705882,2,0,23.25,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
679,1,36.0,0,1,512.3292,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
638,3,41.0,0,5,39.6875,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
649,3,23.0,0,0,7.55,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
616,3,34.0,1,1,14.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
596,2,29.69911764705882,0,0,33.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
517,3,29.69911764705882,0,0,24.15,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
875,3,15.0,0,0,7.225,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
45,3,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
807,3,18.0,0,0,7.775,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
157,3,30.0,0,0,8.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
665,2,32.0,2,0,73.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
171,3,4.0,4,1,29.125,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
16,3,2.0,4,1,29.125,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
511,3,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
48,3,29.69911764705882,2,0,21.6792,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
862,1,48.0,0,0,25.9292,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
749,3,31.0,0,0,7.75,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
515,1,47.0,0,0,34.0208,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
617,3,26.0,1,0,16.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
480,3,9.0,5,2,46.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
283,3,19.0,0,0,8.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
589,3,29.69911764705882,0,0,8.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
225,3,22.0,0,0,9.35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
26,3,29.69911764705882,0,0,7.225,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
848,2,28.0,0,1,33.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
437,2,24.0,2,3,18.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
844,3,17.0,0,0,8.6625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
364,3,29.69911764705882,1,0,15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
229,3,29.69911764705882,3,1,25.4667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,3,21.0,0,0,8.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
857,1,51.0,0,0,26.55,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
374,3,3.0,3,1,21.075,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
